PoliceDepartment,UserID,user.mentioned,UserName,created_at,description,friend_count,follower_count,tff,tff_range,comention.public,comention.mention,no_mentions_inTweet,area,fav_retweet,UserLocation,PDLocation,MentionedUser.LocationTag,UserRole
PortlandPolice,17994536,katunews,KATU News,12-09-2008 16:21,"The latest news & information from Portland, Oregon & SW Washington. Livestream: https://t.co/pfcRe1VnXD",888,99599,112.16,>10,1,1,4,APC,4,"portland, oregon","portland, oregon",Local,Media
NYPDnews,18358219,aiellotv,Tony Aiello,12/24/2008 14:47,"Reporter @CBSNewYork, contact me with story ideas! taiello@cbs.com https://t.co/UprRbMQWVD",3910,6111,1.56,1->2,1,1,3,APC,41,westchester and nyc,new york city,Non-Local,Media
NYPDnews,18740765,njsp,NJSP - State Police,01-07-2009 21:56,"NJ State Police Public Affairs. For further info on any updates, call 609-882-2000 X6516 or after hours and weekends, X7833",175,130513,745.79,>10,0,1,1,AC,756,"west trenton, nj",new york city,Non-Local,Police
NYPDnews,18906097,nyccouncil,NYC Council,01-12-2009 16:46,The New York City Council comprises 51 Members. @MMViverito is the Speaker of the Council.,369,46286,125.44,>10,1,1,2,APC,35,"new york, ny",new york city,Local,Not Identified
SLMPD,18907907,focusstl,FOCUS St. Louis,01-12-2009 17:37,"Our mission is to create a thriving, cooperative region by engaging citizens to participate in active leadership roles and influence positive community change.",1036,11386,10.99,>10,0,1,2,AC,1,"st. louis, mo","st. louis, mo",Local,Other Sectors
PortlandPolice,18953824,pdxfire,Portland Fire&Rescue,1/13/2009 21:16,"PF&R protects life, property & environment. Social media policies: https://t.co/oJAnOVcCnq For emergencies call 9-1-1. Account not monitored at all hours.",624,13359,21.41,>10,0,1,1,AC,17,"portland, oregon","portland, oregon",Local,Not Identified
ScottsdalePD,18999261,fox10phoenix,FOX 10 Phoenix,1/14/2009 22:29,"Phoenix breaking news, weather, politics, sports and more.  Tweet us your tips and pics with hashtag #fox10phoenix",1177,138144,117.37,>10,1,1,1,APC,11,"phoenix, az","scottsdale, arizona",Non-Local,Not Identified
oaklandpoliceca,19031057,kron4news,KRON 4 News,1/15/2009 17:59,"KRON 4, The Bay Area's News Station",2916,129829,44.52,>10,0,1,1,AC,4,san francisco bay area,"oakland, ca",Non-Local,Media
StocktonPolice,19185333,bostonpolice,Boston Police Dept.,1/19/2009 14:49,Tweeting BPD News and real time emergency notifications.,217,368771,1699.41,>10,1,1,2,APC,36,"boston, ma","stockton, ca, usa",Non-Local,Media
NYPDnews,19258235,sept11memorial,9/11 Memorial,1/20/2009 21:22,The official Twitter for The National September 11 Memorial & Museum. #911Memorial #911Museum,1670,68923,41.27,>10,0,1,1,AC,208,"new york, ny",new york city,Local,Not Identified
PortlandPolice,19543821,wgannews,WGAN News,1/26/2009 16:56,"Maine's #1 Local News, with updates 24/7 and breaking news immediately!",245,3619,14.77,>10,1,1,2,APC,1,"portland, me","portland, oregon",Local,Media
detroitpolice,19778050,wxyzdetroit,WXYZ Detroit,1/30/2009 17:39,"WXYZ 7 Action News is Detroit's breaking news and weather leader. Channel 7 - on-air, online at http://t.co/HwiLcpOI and always Taking Action For You.",2163,172223,79.62,>10,0,1,3,AC,4,"detroit, mi","city of detroit, mi",Local,Media
NYPDnews,19834403,billdeblasio,Bill de Blasio,1/31/2009 22:10,"Lucky partner of @Chirlane. Once a public school parent, always a public school parent. 109th Mayor of New York City.",726,530546,730.78,>10,1,1,2,APC,22,"new york, ny",new york city,Local,Politician
SFPD,20187443,sfbike,SF Bicycle Coalition,02-05-2009 21:00,Promoting the bicycle for everyday transportation.,1623,24063,14.83,>10,1,1,2,APC,17,san francisco,"san francisco, ca",Local,Not Identified
oaklandpoliceca,20346380,citizencassidy,Chris Cassidy,02-08-2009 01:55,My son thinks my farm animal noises are the Platonic form of farm animal noises. So I guess you could say I'm kind of a big deal.,946,2070,2.19,2->10,0,1,1,AC,0,"oakland, ca","oakland, ca",Local,Not Identified
sppdPIO,20621530,spacc,St Paul Area Chamber,02-11-2009 20:03,"SPACC: Saint Paul Area Chamber of Commerce. Largest local chamber in MN with business networking, business education, and powerful advocacy.",8437,12185,1.44,1->2,1,1,7,APC,3,"saint paul, mn","st. paul, mn",Local,Other Sectors
SLMPD,21154990,kellykdavis,Kelly Davis,2/18/2009 1:14,Journalist. | Travel Aficionado. | Foodie. | Wino. | Runner. | Swiftie.,954,3248,3.4,2->10,1,1,2,APC,5,"st. louis, mo","st. louis, mo",Local,Media
SLMPD,21280975,brownblaze,BrownBlaze,2/19/2009 7:18,itsbrownblaze@gmail.com | INTJ af,1301,28621,22,>10,1,1,1,APC,1,black.,"st. louis, mo",Non-Local,Not Identified
NYPDnews,21345455,discoveryid,DiscoveryID,2/19/2009 22:13,"The official Twitter account for Investigation Discovery, aka ID //  Dear #IDAddicts, you know you're guilty ;)",5285,115167,21.79,>10,1,1,2,APC,79,,new york city,Missing,Not Identified
SLMPD,21382295,lisaghart,Lisa Hart,2/20/2009 7:45,"TV News Anchor. Full of life. Ambitious. Fiercely loyal. World traveler. Hill seeker. Love laughter, high heels & even higher standards. Psalm 37:4,7",767,3453,4.5,2->10,1,1,4,APC,2,"st. louis, mo","st. louis, mo",Local,Media
oaklandpoliceca,21788835,deancsmith,Dean C. Smith,2/24/2009 19:48,Televisionographer @abc7newsBayArea,2190,1944,0.89,<1,0,1,2,AC,5,"san mateo, california","oakland, ca",Non-Local,Not Identified
NYPDnews,21921531,cityandstateny,City & State NY,2/25/2009 21:27,City & State NY is a weekly magazine covering government & policy in the Empire State. First Read / Insider emails daily. Got tips? editor@cityandstateny.com,2623,23760,9.06,2->10,1,1,2,APC,30,new york,new york city,Local,Media
ScottsdalePD,22088337,cbecktv,CAMERYN BECK,2/27/2009 0:56,"News Junkie. E.W. Scripps Strategist.  Mom, Wife, Friend to many.",1863,1697,0.91,<1,1,1,3,APC,26,living in az and loving it!,"scottsdale, arizona",Non-Local,Not Identified
SpokanePD,22231438,rachelwalexande,Rachel Alexander,2/28/2009 5:18,Cops reporter @SpokesmanReview. Data nerd. Also a translator for @MexicoVoices & editor @watsi. Roller derby alter ego: @Minority_Whip.,1436,1227,0.85,<1,1,1,1,APC,0,"spokane, wa","spokane, wa",Local,Media
PortlandPolice,22556296,timbersfc,Portland Timbers,03-03-2009 00:03,The official Twitter feed of the 2015 MLS Cup Champion Portland Timbers.,360,150624,418.4,>10,1,1,1,APC,13,"portland, oregon","portland, oregon",Local,Not Identified
PortlandPolice,22589282,portland_state,Portland State,03-03-2009 05:13,"Located in the heart of downtown, Portland State University is Oregon's urban research university, home of the PSU Vikings. Go Viks! #PortlandState #FearlessPSU",2800,15068,5.38,2->10,0,1,3,AC,27,"portland, oregon","portland, oregon",Local,Not Identified
detroitpolice,22677427,smerconish,Michael Smerconish,03-03-2009 20:52,"SiriusXM's POTUS Channel 124 from 9am-Noon ET daily, Encore 7pm-10pm ET. Facebook - http://t.co/Wl6QnNvUBc  - CNN Saturdays 9am & 6pm ET",927,65156,70.29,>10,1,1,4,APC,3,"philadelphia, pa","city of detroit, mi",Non-Local,Media
sppdPIO,22804479,msp_traffic,Mpls/St Paul Traffic,03-04-2009 17:35,Resting on my laurels.,29,12762,440.07,>10,1,1,1,APC,1,minneapolis / st. paul traffic,"st. paul, mn",Local,Not Identified
detroitpolice,22948692,local4news,Local 4 WDIV Detroit,03-05-2009 17:35,"We are #Detroit's local news and weather leader, on air and online. Tweets managed by @KenHaddad & @clickondetroit | IG: @Local4 | FB: https://t.co/jdXzNwX8OB",1540,176625,114.69,>10,1,1,3,APC,2,"downtown detroit, mi","city of detroit, mi",Local,Media
SLMPD,22990962,kmoxnews,KMOX St. Louis News,03-05-2009 22:35,NewsRadio 1120 KMOX is Mid-America's most trusted source for news.,692,52952,76.52,>10,1,1,2,APC,6,"st. louis, mo","st. louis, mo",Local,Media
PortlandPolice,24203607,nwnatural,NW Natural,3/13/2009 16:50,"NW Natural serves customers with clean, reliable & affordable natural gas. We tweet updates & tips M-F, 8am-5pm. 
In an emergency please call us:800-882-3377.",323,3803,11.77,>10,1,1,2,APC,4,"portland, ore.","portland, oregon",Local,Not Identified
sppdPIO,24252468,chicago_police,Chicago Police,3/13/2009 20:57,Official feed of Chicago Police. This is not an emergency response line and not monitored 24/7. Submit tips anonymously at 800535STOP. Call 911 for emergencies.,299,34171,114.28,>10,1,1,5,APC,1,"chicago, illinois","st. paul, mn",Non-Local,Police
detroitpolice,25837289,bernardkerik,Bernard B. Kerik,3/22/2009 16:17,"Former New York City Police and Correction Commissioner and best selling author, focused on terrorism, policing, correction and national criminal justice reform",3432,4491,1.31,1->2,1,1,5,APC,8,united states,"city of detroit, mi",Non-Local,Police
PortlandPolice,26303146,lvmpd,LVMPD,3/24/2009 19:27,Official page of the Las Vegas Metropolitan Police Department. For emergencies call 9-1-1 and for assistance call (702) 828-3111. Twitter not monitored 24/7.,320,83913,262.23,>10,1,1,1,APC,41,"las vegas, nevada","portland, oregon",Non-Local,Police
NYPDnews,27988621,cc660,Craig Carton,3/31/2009 23:05,Host of Boomer and Carton Radio Show on Sports Radio 660 WFAN 101.9 FM. and CBS Sports Network,195,107589,551.74,>10,1,1,3,APC,166,new york,new york city,Local,Media
SLMPD,28390516,kmov,KMOV,04-02-2009 18:29,"Bringing you the latest St. Louis news, weather, traffic and sports on your computer or mobile device. For more download the KMOV mobile app.",263,61049,232.13,>10,1,1,4,APC,5,"st. louis, mo","st. louis, mo",Local,Not Identified
NYPDnews,30031547,nycparks,NYC Parks,04-09-2009 17:59,New York City Department of Parks & Recreation is the agency responsible for NYC's public parks and recreational spaces.,1939,142750,73.62,>10,0,1,1,AC,45,new york city,new york city,Local,Not Identified
NYPDnews,30434892,dnainfo,DNAinfo New York,04-11-2009 11:32,DNAinfo reports stories vital to New York City's neighborhoods. https://t.co/MVG1PzkWup,1362,37456,27.5,>10,0,1,1,AC,125,new york city,new york city,Local,Not Identified
PortlandPolice,30724162,clackcosheriff,Clackamas Sheriff,04-12-2009 21:21,"The official Twitter feed of the Clackamas County Sheriff's Office (Craig Roberts, Sheriff).",320,13821,43.19,>10,1,1,1,APC,18,"clackamas county, or","portland, oregon",Local,Police
detroitpolice,31746745,fox2news,FOX 2 Detroit,4/16/2009 12:17,"Detroit Breaking News, Weather and more from WJBK FOX 2. https://t.co/IK8qTkykp8 #FOX2Detroit",1521,177436,116.66,>10,1,1,3,APC,4,fb & snapchat: fox2detroit,"city of detroit, mi",Local,Media
PortlandPolice,33690471,ppbsunshined,Sunshine Division,4/20/2009 22:24,Portland Police Bureau Sunshine Division - each month we directly serve 1300 families with emergency food & clothing.,2460,2341,0.95,<1,1,1,2,APC,3,"portland, or","portland, oregon",Local,Police
PortlandPolice,37155696,mikebennerkgw,Mike Benner,05-02-2009 06:22,Emmy-nominated reporter for @KGWNews // Former @NBC26 & @WJFW12 reporter-anchor // Opinions are my own,3168,5568,1.76,1->2,1,1,1,APC,6,"portland, or","portland, oregon",Local,Media
ScottsdalePD,37311028,marcfox10,Marc Martinez,05-02-2009 23:38,"Weekend anchor/reporter at Fox 10 since 2002. Love traveling AZ, meeting interesting people, and telling stories.",2254,7123,3.16,2->10,1,1,3,APC,18,phoenix,"scottsdale, arizona",Non-Local,Media
ScottsdalePD,41426260,scottsdaleazgov,City of Scottsdale,5/20/2009 19:14,"Official tweets from the City of Scottsdale. Also follow Police @ScottsdalePD , Fire @ScottsdaleFire, Library @ScottsdaleReads & Econ Dev @ScottsdaleEcDev",445,26991,60.65,>10,1,1,2,APC,12,"scottsdale, az","scottsdale, arizona",Local,Police
SLMPD,44194064,jenniferjoyceca,Jennifer M. Joyce,06-02-2009 20:01,"I'm a wife, dog lover and elected prosecutor for #STL. This is my personal Twitter feed and I'm opinionated. For a steady diet of hard news, see @STLCAO.",258,5060,19.61,>10,1,1,3,APC,3,"st louis, mo","st. louis, mo",Local,Not Identified
NYPDnews,44491388,insidecityhall,Inside City Hall,06-03-2009 23:43,New York City political news and analysis from Time Warner Cable's NY1 News. Monday-Friday at 7 & 10 p.m.,26,12936,497.54,>10,1,1,3,APC,17,new york city,new york city,Local,Media
CLEpolice,47408785,cityofcleveland,City of Cleveland,6/15/2009 18:45,Announcements from Cleveland City Hall.,467,29039,62.18,>10,1,1,1,APC,8,"cleveland, ohio","cleveland, oh",Local,Not Identified
SLMPD,48511777,joelcurrier,Joel Currier,6/18/2009 22:18,Reporter for @stltoday and the St. Louis Post-Dispatch; @Cubs fan in #STL,1359,5435,4,2->10,0,1,2,AC,5,"st. louis, mo.","st. louis, mo",Local,Media
SLMPD,48948631,russellkinsaul,Russell Kinsaul,6/20/2009 6:54,"Award winning television reporter. Covering what's right, wrong, new, old, happening, pending, trending & breaking. russell.kinsaul@kmov.com",396,1764,4.45,2->10,0,1,2,AC,3,"st. louis, mo","st. louis, mo",Local,Media
detroitpolice,49381961,noblenatl,NOBLE National,6/21/2009 18:11,NOBLE is the largest minority Law enforcement association in the US. We help to improve the quality of life in all communities.,2070,1596,0.77,<1,1,1,4,APC,7,"alexandria, va","city of detroit, mi",Non-Local,Other Sectors
NYPDnews,51217222,nnscommunities,Safe Communities,6/26/2009 20:42,"Reduce violence, minimize arrest & incarceration, strengthen relationships between law enforcement & communities. @JohnJayCollege:@DavidKennedyNYC",1014,2014,1.99,1->2,1,1,3,APC,11,"new york, ny",new york city,Local,Other Sectors
NYPDnews,51815545,nypdbaseball,NYPD Baseball,6/28/2009 19:28,NYPD Baseball Team,762,1517,1.99,1->2,1,1,2,APC,94,new york city,new york city,Local,Not Identified
NYPDnews,55338739,nycmayorsoffice,NYC Mayor's Office,07-09-2009 19:42,"Live from City Hall, in the greatest city on earth. Mayor @BilldeBlasio.",515,408667,793.53,>10,1,1,4,APC,431,new york city,new york city,Local,Politician
oaklandpoliceca,59042052,chp_goldengate,CHP Golden Gate,7/22/2009 5:01,"Official CHP account of Golden Gate Division, serving the SF Bay Area! En Espanol @CHPBahiaEspanol. Not monitored 24/7, Call 911 in emergencies. 707-648-4180",1241,16358,13.18,>10,1,1,6,APC,13,san francisco bay area,"oakland, ca",Non-Local,Police
sppdPIO,60952204,mndps_msp,MN State Patrol,7/28/2009 16:40,The official Twitter account for the Minnesota State Patrol. Like us on Facebook: https://t.co/AEiLO1NAvT,2165,26261,12.13,>10,1,1,3,APC,2,minnesota,"st. paul, mn",Non-Local,Not Identified
NYPDnews,66368876,manhattanda,"Cyrus Vance, Jr.",8/17/2009 14:41,"The Manhattan District Attorney‰Ûªs Office serves and protects the people of New York through the fair administration of justice, without fear or favor.",730,6135,8.4,2->10,1,1,2,APC,7,,new york city,Missing,Politician
SFPD,72338082,walksf,Walk San Francisco,09-07-2009 17:47,"Walk San Francisco and its members are making streets safer and creating more walkable, livable neighborhoods throughout the city. Join us!",906,8596,9.49,2->10,1,1,2,APC,17,san francisco,"san francisco, ca",Local,Not Identified
StocktonPolice,73491087,phillypolice,Philadelphia Police,09-11-2009 21:36,"The official Twitter account for the Philadelphia Police Department.
Account not monitored 24/7, if you have an emergency please call 911.",314,94618,301.33,>10,0,1,1,AC,2,"philadelphia, pa","stockton, ca, usa",Non-Local,Police
SpokanePD,74869002,spokanecity,City of Spokane,9/16/2009 23:20,The City of Spokane is a local government serving Spokane citizens.,1380,12823,9.29,2->10,1,1,1,APC,10,"spokane, washington","spokane, wa",Local,Not Identified
SLMPD,75316454,rlippmann,Rachel Lippmann,9/18/2009 16:06,StL native. Professional asker of questions and teller of stories.  Rescue dog mama. Proud Northwestern Wildcat. Retweets are not endorsements.,3564,6972,1.96,1->2,1,1,3,APC,3,"st. louis, mo","st. louis, mo",Local,Not Identified
SLMPD,78630270,stlmetro,Metro,9/30/2009 15:32,Official account for Metro. This feed is monitored from 8 a.m. to 5 p.m. Monday through Friday.  http://t.co/qAO0RBFoPb,985,13926,14.14,>10,1,1,2,APC,11,st. louis,"st. louis, mo",Local,Not Identified
